subregion,avg_temp,month
culberson,16.7992700729927,Apr
dallam,12.016883116883117,Apr
dallas,18.44160583941606,Apr
dawson,16.864166666666666,Apr
deaf smith,13.126190476190477,Apr
delta,17.334883720930232,Apr
denton,17.96439393939394,Apr
de witt,21.22016129032258,Apr
dickens,16.470714285714287,Apr
dimmit,22.865882352941178,Apr
donley,15.037692307692307,Apr
duval,22.91806167400881,Apr
eastland,17.97902097902098,Apr
ector,18.10763358778626,Apr
edwards,19.447810218978102,Apr
ellis,18.700735294117646,Apr
el paso,16.856849315068494,Apr
erath,18.092666666666666,Apr
falls,19.571681415929202,Apr
fannin,17.143442622950822,Apr
fayette,20.362043795620437,Apr
fisher,18.16260162601626,Apr
floyd,14.93939393939394,Apr
foard,17.171681415929203,Apr
fort bend,20.628800000000002,Apr
franklin,17.51578947368421,Apr
freestone,19.14666666666667,Apr
frio,22.083892617449663,Apr
gaines,16.649350649350648,Apr
galveston,20.613953488372093,Apr
garza,16.94274193548387,Apr
gillespie,18.73032258064516,Apr
glasscock,17.88780487804878,Apr
goliad,21.77304347826087,Apr
gonzales,20.726666666666667,Apr
gray,14.246853146853146,Apr
grayson,17.397183098591547,Apr
gregg,18.2,Apr
grimes,20.0,Apr
guadalupe,20.527884615384615,Apr
hale,14.628676470588236,Apr
hall,16.221897810218977,Apr
hamilton,18.367241379310343,Apr
hansford,13.575524475524476,Apr
hardeman,16.83877551020408,Apr
hardin,19.732,Apr
harris,20.44738955823293,Apr
harrison,18.206766917293233,Apr
hartley,12.732857142857142,Apr
haskell,18.106923076923078,Apr
hays,19.608139534883723,Apr
hemphill,14.493846153846153,Apr
henderson,18.73840579710145,Apr
hidalgo,24.10093457943925,Apr
hill,18.823741007194243,Apr
hockley,14.885906040268456,Apr
hood,18.54259259259259,Apr
hopkins,17.375,Apr
houston,19.169444444444444,Apr
howard,18.03916083916084,Apr
hudspeth,15.92793893129771,Apr
hunt,17.341463414634145,Apr
hutchinson,14.22,Apr
irion,18.605228758169936,Apr
jack,18.024615384615384,Apr
jackson,21.085593220338982,Apr
jasper,19.264583333333334,Apr
jeff davis,16.064263322884013,Apr
jefferson,20.17794117647059,Apr
jim hogg,23.556962025316455,Apr
jim wells,22.87142857142857,Apr
johnson,18.66138613861386,Apr
jones,18.466141732283464,Apr
karnes,21.54230769230769,Apr
kaufman,18.202654867256637,Apr
kendall,19.134090909090908,Apr
